"Story","Title","Result","Date","Stability","Duration (s)"
"login newtours","login with correct credentials","FAILURE","2018-10-24T14:48:40.416-05:00[America/Bogota]","0.0","57.72"
"register newtours","register with correct data","FAILURE","2018-10-24T14:55:18.274-05:00[America/Bogota]","0.0","8.77"
